	ID	Predicted_Category
284	9700	Technology
285	9510	Film
286	5184	Film
287	12841	Film
288	12664	Technology
289	14904	Film
290	12644	Film
291	12464	Film
292	8009	Film
293	2010	Film
294	1464	Film
295	13614	Film
296	7649	Film
297	15279	Film
298	3320	Film
299	3957	Film
300	444	Film
301	13351	Film
302	1154	Film
303	10080	Film
304	13085	Film
305	6509	Film
306	6370	Film
307	12500	Film
308	9348	Film
309	11453	Film
310	12377	Film
311	11498	Film
312	4020	Film
313	8502	Film
314	1484	Politics
315	12490	Politics
316	12395	Politics
317	1103	Politics
318	9740	Politics
319	4688	Politics
320	474	Politics
321	8973	Business
322	9998	Football
323	6160	Business
324	950	Politics
325	11866	Film
326	8339	Business
327	5175	Business
328	7368	Football
329	11293	Football
330	12174	Film
331	2656	Football
332	12252	Football
333	14995	Business
334	2733	Business
335	2122	Technology
336	2752	Film
337	13140	Technology
338	9106	Business
339	6593	Film
340	6797	Business
341	13860	Film
342	13230	Business
343	3954	Film
344	7727	Politics
345	12673	Politics
346	13579	Business
347	13227	Film
348	9505	Film
349	14584	Politics
350	6510	Film
351	3769	Film
352	10938	Film
353	9101	Film
354	7595	Technology
355	3743	Film
356	7678	Film
357	9517	Business
358	507	Film
359	8420	Film
360	1562	Film
361	5112	Film
362	4983	Film
363	2941	Film
364	12325	Film
365	12294	Film
366	4729	Technology
367	12463	Politics
368	13573	Technology
369	2652	Football
370	150	Film
371	3565	Film
372	14501	Film
373	4641	Film
374	13380	Film
375	3529	Film
376	9784	Film
377	13074	Film
378	9814	Football
379	12076	Film
380	6770	Film
381	1361	Film
382	12315	Film
383	340	Film
384	8619	Film
385	675	Film
386	11255	Film
387	5746	Football
388	12695	Football
389	14037	Technology
390	1064	Football
391	13211	Politics
392	3771	Politics
393	5876	Politics
394	1412	Politics
395	12830	Film
396	9728	Politics
397	11404	Politics
398	2427	Film
399	8641	Film
400	10258	Film
401	4332	Business
402	12225	Film
403	455	Politics
404	11836	Film
405	4752	Film
406	11168	Film
407	13870	Politics
408	904	Football
409	7112	Film
410	2864	Film
411	9217	Film
412	9640	Football
413	8526	Film
414	4546	Film
415	4574	Film
416	6384	Film
417	6927	Film
418	8552	Film
419	4552	Film
420	5552	Film
421	14641	Film
422	11195	Film
423	3183	Politics
424	12092	Film
425	8984	Politics
426	1534	Business
427	1006	Politics
428	4119	Politics
429	11277	Politics
430	7912	Politics
431	14921	Politics
432	11784	Business
433	8018	Politics
434	5333	Politics
435	15005	Politics
436	8509	Politics
437	15144	Politics
438	1008	Politics
439	14686	Politics
440	7046	Politics
441	7155	Politics
442	2928	Politics
443	9378	Politics
444	3285	Politics
445	2135	Politics
446	10086	Politics
447	4447	Politics
448	13346	Politics
449	1506	Politics
450	10528	Film
451	8910	Politics
452	12276	Politics
453	5703	Politics
454	12496	Politics
455	12188	Politics
456	5067	Politics
457	10404	Politics
458	3568	Politics
459	5204	Politics
460	6669	Film
461	14532	Politics
462	4643	Politics
463	5901	Politics
464	5165	Politics
465	5938	Politics
466	8836	Politics
467	7047	Politics
468	206	Politics
469	5030	Politics
470	12849	Politics
471	7705	Politics
472	1507	Politics
473	15254	Politics
474	8166	Politics
475	2983	Politics
476	4260	Politics
477	12594	Politics
478	5740	Politics
479	14416	Politics
480	6864	Politics
481	13118	Politics
482	6200	Politics
483	842	Politics
484	8261	Politics
485	10599	Politics
486	5973	Technology
487	2034	Technology
488	4999	Technology
489	3984	Film
490	2899	Film
491	2726	Business
492	6997	Business
493	2846	Business
494	10105	Business
495	8017	Film
496	1240	Film
497	8352	Film
498	9577	Film
499	10660	Film
500	5872	Film
501	8923	Film
502	3446	Film
503	1245	Business
504	2388	Film
505	13767	Politics
506	5216	Politics
507	13134	Politics
508	5387	Film
509	3439	Politics
510	10966	Politics
511	9377	Business
512	13915	Politics
513	5017	Politics
514	13301	Politics
515	4038	Politics
516	12786	Politics
517	8331	Business
518	4786	Business
519	1700	Politics
520	10289	Film
521	8852	Politics
522	294	Politics
523	3186	Politics
524	6713	Politics
525	3190	Politics
526	14114	Business
527	13690	Technology
528	12411	Technology
529	2647	Politics
530	2018	Technology
531	12345	Business
532	1826	Politics
533	877	Business
534	1111	Politics
535	11178	Business
536	9701	Politics
537	1053	Politics
538	2550	Politics
539	3623	Business
540	4823	Politics
541	7597	Business
542	4117	Politics
543	7537	Politics
544	1830	Technology
545	13724	Politics
546	2523	Business
547	4873	Politics
548	272	Film
549	8031	Politics
550	10043	Politics
551	6029	Politics
552	15275	Politics
553	12156	Business
554	9568	Politics
555	1561	Business
556	8370	Politics
557	10626	Film
558	14302	Business
559	4661	Business
560	398	Politics
561	11578	Politics
562	12802	Politics
563	10842	Politics
564	183	Politics
565	15312	Politics
566	11511	Football
567	7506	Business
568	2457	Politics
569	6368	Politics
570	5250	Politics
571	13310	Business
572	14160	Politics
573	5772	Politics
574	3742	Politics
575	8919	Politics
576	512	Business
577	8667	Politics
578	10590	Politics
579	14906	Politics
580	8796	Politics
581	10826	Politics
582	9601	Politics
583	6768	Politics
584	2993	Politics
585	8035	Politics
586	98	Business
587	4196	Business
588	6845	Politics
589	1238	Business
590	8939	Business
591	14035	Technology
592	11615	Business
593	12848	Business
594	6327	Technology
595	879	Technology
596	345	Film
597	15202	Technology
598	14794	Business
599	12433	Politics
600	5654	Film
601	5082	Film
602	1774	Technology
603	8793	Business
604	11857	Politics
605	679	Politics
606	11360	Politics
607	6507	Business
608	11962	Business
609	14341	Film
610	920	Business
611	2271	Business
612	10695	Business
613	9215	Business
614	12404	Business
615	11555	Business
616	6395	Business
617	6672	Business
618	8899	Business
619	2982	Business
620	13460	Business
621	13278	Business
622	3911	Politics
623	6159	Business
624	3793	Business
625	3514	Business
626	5494	Politics
627	14204	Business
628	8678	Business
629	7438	Business
630	906	Business
631	7725	Business
632	8969	Business
633	4077	Business
634	13628	Business
635	3099	Business
636	5064	Business
637	823	Business
638	546	Business
639	1863	Business
640	9777	Business
641	2596	Business
642	1865	Business
643	7052	Business
644	13949	Business
645	5919	Business
646	10811	Film
647	2145	Business
648	9410	Business
649	13555	Business
650	6743	Business
651	12413	Business
652	15316	Business
653	5392	Business
654	7111	Business
655	13161	Business
656	13130	Business
657	10791	Business
658	4839	Business
659	880	Business
660	13903	Business
661	12497	Film
662	6423	Film
663	8427	Politics
664	11748	Politics
665	14996	Politics
666	13811	Business
667	3368	Football
668	5604	Business
669	10027	Film
670	10251	Business
671	3156	Business
672	4455	Business
673	13544	Business
674	11662	Business
675	5946	Business
676	6235	Technology
677	14771	Business
678	31	Business
679	11877	Technology
680	13743	Business
681	578	Business
682	9166	Business
683	4302	Politics
684	6373	Politics
685	2739	Business
686	15226	Politics
687	10663	Football
688	7852	Business
689	3226	Business
690	13251	Business
691	10532	Business
692	214	Business
693	14018	Politics
694	6339	Business
695	8078	Film
696	14539	Business
697	7467	Business
698	4550	Business
699	1773	Business
700	2845	Business
701	6467	Politics
702	8475	Business
703	13731	Business
704	14558	Business
705	5974	Business
706	1019	Politics
707	13589	Technology
708	8354	Business
709	1136	Politics
710	7876	Politics
711	9272	Politics
712	1693	Business
713	8668	Politics
714	9409	Politics
715	11899	Politics
716	4971	Politics
717	7018	Film
718	114	Politics
719	14084	Technology
720	376	Technology
721	13239	Technology
722	1448	Technology
723	8742	Technology
724	457	Technology
725	11616	Technology
726	3250	Film
727	9663	Technology
728	13670	Technology
729	9875	Film
730	2936	Film
731	2264	Technology
732	9403	Technology
733	10543	Technology
734	10769	Technology
735	892	Technology
736	4862	Technology
737	3871	Technology
738	4987	Technology
739	7403	Technology
740	10550	Business
741	12069	Technology
742	7903	Technology
743	197	Technology
744	9226	Technology
745	8400	Technology
746	4694	Technology
747	8328	Business
748	9871	Technology
749	4476	Business
750	2894	Technology
751	12832	Business
752	14112	Business
753	9246	Politics
754	2030	Business
755	12425	Business
756	2531	Film
757	10032	Business
758	48	Business
759	11527	Technology
760	14236	Technology
761	3950	Technology
762	3687	Business
763	11287	Business
764	1018	Technology
765	6677	Technology
766	11960	Football
767	2446	Football
768	22	Football
769	12479	Football
770	8665	Football
771	2016	Business
772	4796	Football
773	6573	Business
774	2968	Business
775	6980	Business
776	11766	Football
777	3343	Politics
778	14606	Technology
779	10869	Football
780	12363	Football
781	10045	Football
782	2450	Football
783	8808	Football
784	5088	Football
785	5001	Football
786	13049	Football
787	3865	Football
788	188	Politics
789	11994	Football
790	11823	Politics
791	1336	Football
792	14202	Politics
793	8378	Football
794	14637	Football
795	6415	Business
796	1199	Football
797	3701	Football
798	13664	Football
799	10900	Football
800	3723	Football
801	11937	Football
802	12260	Football
803	323	Football
804	1594	Film
805	5952	Football
806	7203	Football
807	10915	Football
808	13751	Football
809	969	Football
810	3909	Football
811	3395	Football
812	14433	Football
813	3962	Football
814	5102	Film
815	7131	Football
816	3788	Football
817	8545	Football
818	9004	Football
819	9237	Football
820	2044	Football
821	4537	Football
822	14063	Business
823	9737	Business
824	7413	Business
825	5539	Business
826	12980	Business
827	11978	Technology
828	11736	Business
829	4018	Business
830	3220	Technology
831	104	Technology
832	4274	Technology
833	492	Politics
834	14671	Technology
835	900	Technology
836	9192	Technology
837	12484	Technology
838	309	Technology
839	2206	Technology
840	554	Technology
841	5095	Technology
842	13861	Technology
843	6599	Football
844	3973	Technology
845	2185	Business
846	664	Technology
847	3180	Technology
848	11384	Film
849	13612	Technology
850	7863	Film
851	6497	Business
852	11199	Technology
853	4867	Technology
854	7211	Technology
855	11926	Technology
856	3469	Film
857	10148	Technology
858	10582	Technology
859	2486	Technology
860	9603	Technology
861	4395	Technology
862	14909	Technology
863	499	Technology
864	7524	Business
865	6232	Technology
866	4037	Technology
867	11274	Technology
868	2520	Technology
869	10877	Technology
870	1839	Technology
871	6330	Technology
872	12379	Business
873	11146	Football
874	6008	Business
875	13800	Technology
876	3256	Technology
877	13219	Technology
878	5050	Film
879	10047	Politics
880	10172	Technology
881	12310	Technology
882	8425	Technology
883	14760	Technology
884	8528	Technology
885	3834	Football
886	3510	Football
887	8008	Football
888	5546	Football
889	2066	Football
890	11671	Film
891	14578	Football
892	7278	Football
893	12126	Football
894	14646	Football
895	1272	Football
896	14208	Football
897	7882	Football
898	2513	Football
899	12905	Football
900	10622	Football
901	1146	Football
902	14998	Football
903	9231	Football
904	8243	Football
905	9486	Football
906	6836	Football
907	4170	Politics
908	12173	Football
909	2408	Football
910	10678	Football
911	5070	Football
912	4342	Football
913	6569	Football
914	7558	Football
915	4739	Football
916	8325	Football
917	9578	Football
918	5803	Football
919	9147	Football
920	13468	Football
921	4039	Football
922	10070	Football
923	2769	Football
924	4795	Football
925	15319	Football
926	2078	Football
927	14654	Football
928	11140	Football
929	7308	Football
930	7708	Football
931	10170	Football
932	13221	Football
933	4452	Football
934	13943	Football
935	996	Football
936	6798	Football
937	6404	Football
938	4057	Football
939	10467	Technology
940	5144	Football
941	9499	Football
942	14658	Football
943	1273	Football
944	10206	Football
945	7662	Football
946	10373	Football
947	2248	Football
948	1077	Football
949	10688	Football
950	7465	Football
951	9766	Football
952	11355	Football
953	10700	Football
954	5991	Football
955	5845	Football
956	9822	Football
957	5192	Football
958	14864	Football
959	13702	Football
960	14447	Football
961	2483	Football
962	4576	Football
963	3122	Football
964	4477	Politics
965	4660	Football
966	12029	Football
967	6253	Football
968	12651	Football
969	3399	Football
970	468	Football
971	7098	Football
972	9136	Football
973	2027	Film
974	14528	Football
975	9394	Football
976	12917	Football
977	9879	Football
978	3608	Football
979	6213	Football
980	8529	Football
981	3461	Football
982	8995	Football
983	9451	Football
984	8220	Football
985	12099	Football
986	13053	Football
987	2624	Football
988	7301	Football
989	6819	Football
990	1087	Football
991	625	Football
992	15068	Football
993	1644	Football
994	10379	Film
995	4789	Football
996	4282	Football
997	7139	Football
998	14376	Football
999	7010	Football
1000	3825	Football
1001	14053	Football
1002	13640	Football
1003	3435	Football
1004	7296	Football
1005	14596	Football
1006	11567	Football
1007	6198	Football
1008	10112	Football
1009	14745	Football
1010	9075	Football
1011	5376	Football
1012	10259	Football
1013	5716	Football
1014	1794	Football
1015	629	Football
1016	6191	Football
1017	12201	Football
1018	15142	Football
1019	11787	Football
1020	1590	Football
1021	1435	Football
1022	4004	Football
1023	9605	Football
1024	12760	Football
1025	10846	Football
1026	386	Football
1027	618	Football
1028	13629	Football
1029	10122	Football
1030	7042	Football
1031	3767	Football
1032	4079	Football
1033	13843	Football
1034	13795	Football
1035	13138	Football
1036	13917	Football
1037	6697	Football
1038	11846	Football
1039	1739	Football
1040	13798	Football
1041	10487	Football
1042	11808	Football
1043	10253	Football
1044	3011	Business
1045	10728	Football
1046	832	Football
1047	11086	Technology
1048	14166	Politics
1049	14242	Football
1050	2581	Technology
1051	676	Film
1052	9370	Film
1053	8598	Technology
1054	14129	Technology
1055	10742	Technology
1056	11106	Technology
1057	949	Business
1058	13419	Technology
1059	1477	Film
1060	9925	Technology
1061	2791	Technology
1062	12725	Business
1063	212	Film
1064	3760	Technology
1065	9810	Technology
1066	14590	Business
1067	3315	Technology
1068	14169	Technology
1069	13833	Football
1070	8005	Technology
1071	2990	Technology
1072	9937	Technology
1073	13818	Technology
1074	1937	Film
1075	13176	Business
1076	10060	Technology
1077	6545	Technology
1078	14418	Technology
1079	8738	Business
1080	11872	Technology
1081	13260	Technology
1082	1125	Technology
1083	8470	Technology
1084	10650	Technology
1085	10155	Football
1086	10073	Business
1087	9983	Technology
1088	9930	Technology
1089	11729	Technology
1090	497	Technology
1091	11864	Business
1092	13952	Technology
1093	1633	Technology
1094	14527	Business
1095	5207	Technology
1096	5508	Technology
1097	11118	Technology
1098	2579	Business
1099	2567	Technology
1100	5282	Film
1101	7582	Business
1102	6204	Film
1103	1786	Business
1104	476	Technology
1105	3815	Film
1106	13919	Football
1107	1375	Technology
1108	11101	Business
1109	11208	Film
1110	4221	Technology
1111	6375	Technology
1112	4516	Technology
1113	11693	Film
1114	8574	Business
1115	4231	Film
1116	13883	Film
1117	13596	Film
1118	5498	Business
1119	5532	Film
1120	7977	Film
1121	10325	Film
1122	15270	Film
1123	13630	Film
1124	10554	Film
1125	15280	Business
1126	6033	Film
1127	6205	Film
1128	11021	Film
1129	4417	Football
1130	15318	Film
1131	1961	Film
1132	4697	Film
1133	13605	Film
1134	11318	Film
1135	5862	Film
1136	8273	Film
1137	13099	Film
1138	3133	Film
1139	9463	Film
1140	12027	Film
1141	4017	Film
1142	9979	Film
1143	3955	Film
1144	5655	Film
1145	13784	Film
1146	14600	Film
1147	13700	Business
1148	211	Film
1149	6576	Film
1150	1796	Business
1151	14273	Film
1152	8477	Film
1153	12712	Film
1154	8555	Film
1155	15241	Film
1156	7651	Film
1157	8061	Film
1158	5779	Film
1159	3920	Technology
1160	11880	Film
1161	3115	Film
1162	9778	Film
1163	13662	Film
1164	4160	Film
1165	5114	Film
1166	11605	Film
1167	14407	Film
1168	13348	Business
1169	3750	Film
1170	13638	Film
1171	2003	Film
1172	2077	Film
1173	12889	Film
1174	11874	Film
1175	7683	Film
1176	7567	Film
1177	3206	Film
1178	11491	Film
1179	10945	Film
1180	10993	Film
1181	8944	Film
1182	10864	Film
1183	4389	Film
1184	14908	Technology
1185	7245	Technology
1186	10176	Film
1187	15231	Film
1188	179	Film
1189	4080	Film
1190	7723	Film
1191	1202	Film
1192	8180	Film
1193	13790	Film
1194	278	Film
1195	2707	Film
1196	4337	Film
1197	4967	Film
1198	15061	Film
1199	3480	Film
1200	14361	Film
1201	7660	Film
1202	6129	Film
1203	6767	Film
1204	2088	Film
1205	15001	Film
1206	2795	Film
1207	9472	Business
1208	947	Film
1209	4778	Film
1210	10996	Politics
1211	14523	Politics
1212	13159	Business
1213	372	Business
1214	13886	Business
1215	1993	Business
1216	11924	Business
1217	12175	Business
1218	7173	Politics
1219	6494	Business
1220	4578	Business
1221	7585	Business
1222	14002	Politics
1223	14888	Business
1224	11728	Business
1225	2334	Politics
1226	6552	Business
1227	3340	Business
1228	439	Business
1229	1049	Football
1230	7395	Film
1231	9723	Business
1232	9748	Film
1233	2218	Business
1234	5171	Business
1235	445	Technology
1236	12091	Business
1237	2344	Technology
1238	11248	Politics
1239	2767	Technology
1240	11505	Business
1241	12958	Film
1242	3181	Film
1243	1939	Business
1244	15134	Business
1245	7674	Business
1246	2623	Politics
1247	5467	Business
1248	6863	Business
1249	5057	Politics
1250	4612	Business
1251	12775	Football
1252	3875	Football
1253	435	Football
1254	13766	Business
1255	1007	Technology
1256	7910	Technology
1257	991	Football
1258	14367	Politics
1259	2319	Film
1260	10458	Technology
1261	8916	Film
1262	812	Business
1263	12304	Film
1264	4486	Politics
1265	8451	Politics
1266	9989	Politics
1267	1983	Football
1268	4026	Technology
1269	12756	Film
1270	6294	Technology
1271	6737	Technology
1272	12485	Film
1273	11987	Football
1274	8974	Football
1275	2236	Football
1276	15169	Football
1277	4308	Football
1278	5094	Football
1279	11482	Technology
1280	8232	Technology
1281	5665	Football
1282	981	Football
1283	11558	Football
1284	1135	Film
1285	2126	Technology
1286	10777	Football
1287	3098	Football
1288	2363	Football
1289	1393	Football
1290	2438	Football
1291	1344	Football
1292	3818	Football
1293	2518	Football
1294	12822	Football
1295	883	Football
1296	10297	Football
1297	11343	Football
1298	6869	Football
1299	1820	Technology
1300	4025	Business
1301	2025	Business
1302	9085	Football
1303	6975	Business
1304	7961	Technology
1305	12680	Film
1306	6326	Film
1307	7520	Film
1308	1932	Film
1309	11004	Politics
1310	4318	Business
1311	8600	Business
1312	7888	Business
1313	8026	Technology
1314	702	Politics
1315	5239	Politics
1316	4929	Politics
1317	4737	Politics
1318	7019	Politics
1319	352	Technology
1320	11862	Football
1321	13367	Film
1322	11763	Football
1323	14340	Politics
1324	10455	Technology
1325	5024	Film
1326	2711	Film
1327	3228	Technology
1328	12312	Technology
1329	1179	Technology
1330	480	Film
1331	8147	Film
1332	8249	Technology
1333	13202	Film
1334	13281	Film
1335	2540	Technology
1336	15046	Technology
1337	9323	Politics
1338	8070	Technology
1339	241	Film
1340	581	Film
1341	7005	Technology
1342	10314	Business
1343	5061	Business
1344	3231	Business
1345	7614	Business
1346	7744	Politics
1347	1165	Politics
1348	1995	Politics
1349	6739	Business
1350	8084	Business
1351	2593	Business
1352	4668	Film
1353	9177	Politics
1354	2847	Business
1355	7025	Business
1356	6587	Business
1357	12158	Business
1358	5729	Business
1359	7972	Business
1360	3504	Business
1361	12456	Politics
1362	2251	Business
1363	14875	Business
1364	10975	Business
1365	3870	Business
1366	2327	Politics
1367	7758	Politics
1368	10322	Business
1369	5684	Business
1370	61	Business
1371	6303	Business
1372	14772	Business
1373	8998	Business
1374	11028	Business
1375	5370	Business
1376	4846	Business
1377	4868	Business
1378	8247	Business
1379	8151	Business
1380	13665	Business
1381	4779	Technology
1382	264	Business
1383	7518	Business
1384	5759	Business
1385	4922	Business
1386	3071	Business
1387	5150	Business
1388	3817	Business
1389	1297	Politics
1390	13674	Politics
1391	4450	Business
1392	532	Business
1393	13973	Politics
1394	8311	Business
1395	13615	Business
1396	8200	Business
1397	10798	Business
1398	1474	Business
1399	117	Business
1400	9853	Business
1401	9809	Business
1402	2689	Business
1403	2744	Film
1404	8901	Football
1405	11548	Film
1406	1930	Politics
1407	11282	Politics
1408	11770	Business
1409	13224	Politics
1410	14678	Business
1411	13980	Business
1412	11732	Film
1413	2572	Business
1414	6617	Technology
1415	460	Technology
1416	6308	Politics
1417	453	Politics
1418	763	Film
1419	5279	Technology
1420	7077	Technology
1421	15043	Technology
1422	15207	Film
1423	12004	Football
1424	13320	Film
1425	4193	Football
1426	1132	Football
1427	13922	Business
1428	6175	Business
1429	145	Football
1430	14573	Film
1431	4980	Film
1432	1936	Football
1433	6103	Business
1434	14970	Business
1435	6647	Technology
1436	2992	Technology
1437	6155	Football
1438	6547	Business
1439	14139	Technology
1440	1659	Business
1441	4879	Business
1442	9591	Technology
1443	7667	Business
1444	5343	Business
1445	9644	Technology
1446	12737	Technology
1447	8119	Film
1448	11786	Technology
1449	6240	Politics
1450	11664	Politics
1451	7517	Technology
1452	9413	Technology
1453	2758	Technology
1454	7407	Politics
1455	7652	Technology
1456	6875	Technology
1457	9575	Politics
1458	3443	Technology
1459	7326	Film
1460	5984	Politics
1461	1929	Football
1462	15176	Politics
1463	6948	Film
1464	3057	Film
1465	2980	Politics
1466	5170	Politics
1467	2364	Film
1468	13385	Technology
1469	2786	Technology
1470	14235	Film
1471	8002	Business
1472	2017	Business
1473	9185	Technology
1474	348	Business
1475	13950	Business
1476	207	Football
1477	12915	Football
1478	3891	Film
1479	1001	Film
1480	9828	Film
1481	4171	Film
1482	4175	Politics
1483	88	Football
1484	5588	Business
1485	4762	Football
1486	6437	Football
1487	13637	Football
1488	11111	Business
1489	6151	Business
1490	8006	Business
1491	3292	Business
1492	2094	Film
1493	7231	Business
1494	14920	Business
1495	11105	Politics
1496	11800	Politics
1497	742	Film
1498	5747	Business
1499	1168	Politics
1500	12324	Politics
1501	10036	Technology
1502	4952	Technology
1503	2292	Business
1504	14844	Football
1505	1241	Politics
1506	3814	Business
1507	8909	Film
1508	5005	Business
1509	3899	Politics
1510	12650	Politics
1511	723	Politics
1512	6461	Politics
1513	7008	Politics
1514	4120	Politics
1515	7598	Football
1516	15073	Football
1517	6010	Politics
1518	13027	Politics
1519	3404	Politics
1520	2389	Politics
1521	1898	Politics
1522	6817	Politics
1523	1582	Politics
1524	4904	Business
1525	2256	Politics
1526	14250	Politics
1527	14318	Business
1528	6376	Business
1529	9617	Politics
1530	1410	Film
1531	1836	Football
1532	12570	Business
1533	5386	Business
1534	14117	Politics
1535	12209	Business
1536	6957	Politics
1537	2710	Politics
1538	15247	Film
1539	14575	Politics
1540	11415	Politics
1541	2903	Politics
1542	14515	Politics
1543	7906	Politics
1544	8754	Politics
1545	3455	Politics
1546	13587	Politics
1547	597	Politics
1548	14462	Politics
1549	8578	Politics
1550	3287	Business
1551	12113	Politics
1552	2724	Politics
1553	5632	Politics
1554	11296	Politics
1555	2830	Politics
1556	8522	Politics
1557	8274	Politics
1558	10023	Politics
1559	12056	Politics
1560	4638	Politics
1561	6906	Politics
1562	10724	Politics
1563	6886	Politics
1564	2458	Politics
1565	5907	Football
1566	12536	Film
1567	12706	Politics
1568	1232	Politics
1569	2695	Football
1570	13081	Politics
1571	6245	Politics
1572	416	Politics
1573	13545	Politics
1574	11896	Business
1575	14344	Football
1576	7545	Film
1577	5735	Politics
1578	8634	Business
1579	14409	Politics
1580	4633	Politics
1581	6995	Politics
1582	15168	Politics
1583	10603	Business
1584	3219	Politics
1585	6222	Film
1586	15077	Politics
1587	8688	Politics
1588	3778	Business
1589	3531	Politics
1590	14951	Business
1591	13737	Politics
1592	7309	Business
1593	9999	Business
1594	13619	Politics
1595	6158	Business
1596	13498	Politics
1597	1339	Politics
1598	13806	Politics
1599	10347	Business
1600	7217	Business
1601	15080	Business
1602	6190	Business
1603	6741	Film
1604	1293	Politics
1605	14924	Business
1606	15262	Business
1607	8163	Politics
1608	7140	Business
1609	8882	Business
